C:\Users\Admin\Documents\RST\codecrucible-synth-main (1)\codecrucible-synth-main\src\core\agent.ts: line 177, col 44, Warning - '_context' is defined but never used. (@typescript-eslint/no-unused-vars)
C:\Users\Admin\Documents\RST\codecrucible-synth-main (1)\codecrucible-synth-main\src\core\agents\agent-ecosystem.ts: line 1190, col 44, Warning - '_request' is defined but never used. (@typescript-eslint/no-unused-vars)
C:\Users\Admin\Documents\RST\codecrucible-synth-main (1)\codecrucible-synth-main\src\core\agents\agent-ecosystem.ts: line 1295, col 41, Warning - '_request' is defined but never used. (@typescript-eslint/no-unused-vars)
C:\Users\Admin\Documents\RST\codecrucible-synth-main (1)\codecrucible-synth-main\src\core\agents\agent-ecosystem.ts: line 1381, col 47, Warning - '_request' is defined but never used. (@typescript-eslint/no-unused-vars)
C:\Users\Admin\Documents\RST\codecrucible-synth-main (1)\codecrucible-synth-main\src\core\agents\agent-ecosystem.ts: line 1466, col 44, Warning - '_request' is defined but never used. (@typescript-eslint/no-unused-vars)
C:\Users\Admin\Documents\RST\codecrucible-synth-main (1)\codecrucible-synth-main\src\core\agents\agent-ecosystem.ts: line 1556, col 41, Warning - '_request' is defined but never used. (@typescript-eslint/no-unused-vars)
C:\Users\Admin\Documents\RST\codecrucible-synth-main (1)\codecrucible-synth-main\src\core\agents\agent-ecosystem.ts: line 1890, col 40, Warning - '_request' is defined but never used. (@typescript-eslint/no-unused-vars)
C:\Users\Admin\Documents\RST\codecrucible-synth-main (1)\codecrucible-synth-main\src\core\agents\agent-ecosystem.ts: line 1980, col 45, Warning - '_request' is defined but never used. (@typescript-eslint/no-unused-vars)
C:\Users\Admin\Documents\RST\codecrucible-synth-main (1)\codecrucible-synth-main\src\core\agents\agent-ecosystem.ts: line 2070, col 39, Warning - '_request' is defined but never used. (@typescript-eslint/no-unused-vars)
C:\Users\Admin\Documents\RST\codecrucible-synth-main (1)\codecrucible-synth-main\src\core\agents\agent-ecosystem.ts: line 2190, col 28, Warning - '_phaseResults' is defined but never used. (@typescript-eslint/no-unused-vars)
C:\Users\Admin\Documents\RST\codecrucible-synth-main (1)\codecrucible-synth-main\src\core\analytics\performance-optimizer.ts: line 511, col 11, Warning - 'modelStats' is assigned a value but never used. (@typescript-eslint/no-unused-vars)
